iter	Passed	Remaining
0	2	750
1	4	657
2	6	623
3	8	631
4	11	651
5	13	647
6	15	646
7	17	645
8	20	658
9	22	645
10	24	638
11	26	636
12	28	636
13	31	634
14	33	633
15	35	629
16	37	626
17	39	621
18	41	620
19	44	618
20	46	612
21	48	609
22	50	606
23	52	605
24	54	603
25	56	599
26	59	596
27	61	594
28	63	594
29	65	592
30	68	590
31	70	586
32	72	583
33	74	581
34	76	579
35	78	575
36	80	574
37	82	571
38	84	568
39	86	565
40	88	561
41	90	558
42	93	557
43	95	555
44	97	553
45	99	551
46	101	548
47	103	545
48	105	542
49	108	540
50	110	539
51	112	536
52	114	534
53	116	532
54	118	529
55	121	527
56	123	525
57	125	523
58	127	521
59	129	519
60	131	516
61	133	513
62	135	510
63	137	508
64	140	506
65	142	505
66	144	503
67	147	501
68	149	499
69	151	497
70	153	495
71	156	494
72	163	508
73	189	580
74	194	582
75	197	581
76	199	577
77	201	573
78	203	569
79	205	566
80	208	563
81	210	560
82	212	556
83	215	553
84	217	549
85	219	546
86	222	544
87	224	541
88	226	538
89	229	535
90	231	532
91	234	530
92	237	527
93	239	523
94	241	521
95	243	517
96	245	514
97	248	511
98	250	508
99	252	505
100	255	502
101	257	499
102	259	496
103	261	492
104	263	490
105	266	487
106	268	484
107	270	481
108	273	478
109	275	475
110	277	472
111	279	469
112	281	466
113	283	463
114	286	460
115	288	457
116	290	454
117	292	451
118	295	448
119	297	445
120	299	442
121	301	439
122	303	437
123	306	434
124	308	431
125	310	428
126	312	426
127	315	423
128	317	420
129	319	418
130	322	415
131	324	412
132	326	409
133	328	406
134	330	404
135	332	401
136	334	398
137	337	395
138	339	392
139	341	389
140	343	387
141	345	384
142	348	382
143	350	379
144	352	376
145	355	374
146	357	371
147	359	369
148	361	366
149	363	363
150	365	360
151	367	358
152	370	355
153	372	353
154	374	350
155	377	348
156	379	345
157	381	342
158	383	340
159	385	337
160	388	335
161	390	332
162	392	330
163	395	327
164	397	324
165	399	322
166	401	319
167	403	317
168	405	314
169	407	311
170	410	309
171	412	307
172	414	304
173	417	302
174	419	299
175	421	296
176	423	294
177	426	292
178	428	289
179	430	286
180	432	284
181	434	281
182	436	279
183	438	276
184	441	274
185	443	272
186	446	269
187	448	267
188	450	264
189	452	261
190	454	259
191	456	256
192	458	254
193	461	251
194	463	249
195	465	246
196	467	244
197	469	241
198	472	239
199	474	237
200	476	234
201	478	232
202	480	229
203	482	227
204	485	224
205	487	222
206	489	219
207	491	217
208	493	214
209	495	212
210	497	209
211	499	207
212	501	205
213	504	202
214	506	200
215	508	197
216	510	195
217	513	193
218	515	190
219	517	188
220	519	185
221	521	183
222	523	180
223	525	178
224	528	176
225	530	173
226	532	171
227	534	168
228	536	166
229	538	164
230	541	161
231	543	159
232	545	156
233	547	154
234	550	152
235	552	149
236	554	147
237	557	145
238	559	142
239	561	140
240	563	137
241	565	135
242	567	133
243	569	130
244	572	128
245	574	126
246	576	123
247	578	121
248	580	118
249	582	116
250	584	114
251	587	111
252	589	109
253	591	107
254	593	104
255	595	102
256	597	100
257	600	97
258	602	95
259	604	93
260	606	90
261	608	88
262	610	85
263	613	83
264	615	81
265	617	78
266	619	76
267	621	74
268	623	71
269	625	69
270	628	67
271	630	64
272	632	62
273	634	60
274	637	57
275	639	55
276	641	53
277	644	50
278	646	48
279	648	46
280	650	43
281	652	41
282	655	39
283	657	37
284	659	34
285	662	32
286	663	30
287	666	27
288	668	25
289	670	23
290	673	20
291	675	18
292	677	16
293	679	13
294	681	11
295	683	9
296	686	6
297	688	4
298	690	2
299	693	0
